date,open,high,low,close,volume,BVPS cơ bản,EPS 4 quý,P/E cơ bản,ROAA,ROEA,ROS,Current_Assets,Current_Liabilities,Total_Liabilities,Equity,Total_Assets
2018-11-05,5950.0,5950.0,5710.0,5900.0,3140,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-06,5950.0,6050.0,5790.0,5950.0,5650,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-07,5950.0,6050.0,5790.0,5820.0,4460,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-08,5790.0,5820.0,5660.0,5790.0,23910,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-09,5790.0,5870.0,5690.0,5870.0,4900,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-12,5840.0,5870.0,5660.0,5660.0,26120,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-13,5710.0,5790.0,5450.0,5790.0,10940,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-14,5790.0,5790.0,5630.0,5630.0,10100,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-15,5660.0,5690.0,5630.0,5690.0,15180,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-16,5660.0,5790.0,5660.0,5770.0,2930,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-19,5660.0,5790.0,5660.0,5790.0,5610,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-20,5660.0,5790.0,5630.0,5790.0,14740,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-21,5660.0,5690.0,5630.0,5630.0,17410,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-22,5660.0,5790.0,5660.0,5790.0,5080,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-23,5740.0,5740.0,5690.0,5690.0,5970,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-26,5690.0,5690.0,5580.0,5580.0,15000,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-27,5580.0,5580.0,5210.0,5290.0,52510,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-28,5290.0,5630.0,5290.0,5500.0,7350,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-29,5740.0,5740.0,5500.0,5500.0,3380,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-11-30,5790.0,5790.0,5580.0,5610.0,920,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-03,5790.0,5790.0,5630.0,5740.0,11040,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-04,5790.0,5790.0,5710.0,5710.0,18370,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-05,5710.0,5770.0,5530.0,5740.0,21740,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-06,5740.0,5920.0,5740.0,5790.0,42220,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-07,5790.0,6050.0,5790.0,5840.0,16070,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-10,5840.0,5900.0,5840.0,5870.0,10000,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-11,5900.0,5920.0,5870.0,5920.0,2310,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-12,5900.0,5900.0,5690.0,5840.0,17860,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-13,5840.0,5900.0,5840.0,5900.0,6690,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-14,5900.0,5900.0,5840.0,5840.0,40240,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-17,5840.0,5900.0,5840.0,5870.0,11940,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-18,5870.0,5920.0,5790.0,5900.0,34030,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-19,5900.0,5900.0,5870.0,5900.0,36700,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-20,5870.0,5870.0,5870.0,5870.0,11300,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-21,6120.0,6150.0,6040.0,6040.0,8120,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-24,6040.0,6040.0,5680.0,5680.0,7420,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-25,6060.0,6060.0,5570.0,5570.0,7020,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-26,5760.0,5790.0,5570.0,5790.0,15950,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-27,5840.0,5950.0,5840.0,5950.0,620,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2018-12-28,5840.0,5840.0,5840.0,5840.0,310,17836.0,1456.0,8.86,2.27,3.24,9.63,404092,137305,161720,338747,500467
2019-01-02,5840.0,5840.0,5650.0,5650.0,9210,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
